code;name;type;is_deprecated;hint
adult;Взрослые;1;0;
child;"Дети до 12 лет";1;0;
infant;"Дети до 2 лет";1;0;
Economy;Эконом;2;0;
Business;Бизнес;2;0;
RussianFederationPassport;"Паспорт РФ";3;0;
InternationalPassport;"Заграничный паспорт РФ";3;0;
ForeignPassport;"Паспорт иностранного пассажира";3;0;
SeamanPassport;"Паспорт моряка РФ";3;1;
MilitaryCard;"Военный билет РФ";3;1;
ResidencePermit;"Вид на жительство";3;1;
BirthCertificate;"Свидетельство о рождении РФ";3;0;
NonRefundable;"Без возврата";4;0;"Возврат билета невозможен"
Refundable;"Возврат без доплаты";4;0;"Возврат без штрафа"
RefundableWithPenalty;"Возврат с доплатой";4;0;"Возврат билета возможен за дополнительную плату"
NonChangeable;"Без обмена";5;0;"Обмен билета невозможен"
Changeable;"Обмен без доплаты";5;0;"Обмен без штрафа"
ChangeableWithExtraPay;"Обмен с доплатой";5;0;"Обмен билета возможен за дополнительную плату"
0;"прямой рейс";6;0;
1;"рейсы до одной пересадки";6;0;
2;"рейсы до двух пересадок";6;0;
Kg;Килограмм;7;0;
Lb;Фунт;7;0;
0;"Багаж платный";8;0;"Багаж за дополнительную плату"
1;"1 место багажа";8;0;"Багаж включен в тариф"
2;"2 места багажа";8;0;"Багаж включен в тариф"
3;"3 места багажа";8;0;"Багаж включен в тариф"
0;"Без ручной клади";9;0;"Ручная кладь не включена в тариф"
1;"1 место ручной клади";9;0;"Ручная кладь включена в тариф"
2;"2 места ручной клади";9;0;"Ручная кладь включена в тариф"
3;"3 места ручной клади";9;0;"Ручная кладь включена в тариф"
1;"Я точно не полечу, снимите места и оформите возврат";10;0;"Причина возврата"
2;"Я возможно не полечу, рассчитайте возврат";10;0;"Причина возврата"
3;"Я точно не лечу, потому что авиакомпания отменила или перенесла рейс";10;0;"Причина возврата"
4;"Я хочу оформить возврат в связи со смертью пассажира/члена семьи";10;0;"Причина возврата"
5;"Я хочу оформить возврат в связи с отказом в выдаче визы";10;0;"Причина возврата"
